out|Davidoff Cool Water|c77a952e|22|127.0.0.1:20001
out|Dior Sauvage|e37a91ee|0|127.0.0.1:20001
out|Calvin Klein ck one|49917729|9|127.0.0.1:20001
in|Alien Mugler|7fc95643|28|127.0.0.1:20001
out|Alien Mugler|7fc95643|21|127.0.0.1:20001
out|Dior Sauvage|e37a91ee|24|127.0.0.1:20001
in|Calvin Klein ck one|49917729|14|127.0.0.1:20001
out|Boss Bottled|f5b2cd74|19|127.0.0.1:20001
in|Boss Bottled|f5b2cd74|42|127.0.0.1:20001
out|Boss Bottled|f5b2cd74|40|127.0.0.1:20001
in|Boss Bottled|f5b2cd74|14|127.0.0.1:20001
